year,yearName,cu
1,1985,0
2,1986,0
3,1987,0
4,1988,0
5,1989,0
6,1990,0
7,1991,0
8,1992,0
9,1993,0
10,1994,0
11,1995,0
12,1996,0
13,1997,0
14,1998,0
15,1999,0
16,2000,0.01
17,2001,0.01
18,2002,0.02
19,2003,0.02
20,2004,0.03
21,2005,0.03
22,2006,0.03
23,2007,0.03
24,2008,0.04
25,2009,0.04
26,2010,0.04
27,2011,0.04
28,2012,0.04
29,2013,0.04
30,2014,0.04
31,2015,0.04
32,2016,0.09
33,2017,0.1
34,2018,0.11
35,2019,0.12
36,2020,0.12
37,2021,0.13
38,2022,0.13
39,2023,0.14
40,2024,0.14
41,2025,0.14
